Dataset,FeatureSelection,PruneMethod,Number,Accuracy,Area,Power,bitwidth,sparsity_rate
wesad,disr,l2,10,70.0,0.8459,4.635,4,0.2
wesad,disr,l2,10,64.0,0.75859,4.143,4,0.5
wesad,disr,l2,10,65.0,0.9744,5.32,4,0.9
wesad,disr,l2,10,62.0,0.94032,5.136,4,0.2
wesad,disr,l2,10,58.0,0.77468,4.26,4,0.5
wesad,disr,l2,10,55.0,0.78609,4.312,4,0.9
wesad,disr,l2,10,56.0,0.9074,4.963,4,0.2
wesad,disr,l2,10,77.0,0.99626,5.445,4,0.5
wesad,disr,l2,10,77.0,0.96347,5.261,4,0.9
wesad,disr,l2,10,52.0,0.60218,3.298,4,0.2
wesad,disr,l2,10,65.0,0.68522,3.758,4,0.5
wesad,disr,l2,10,65.0,0.65815,3.606,4,0.9
wesad,disr,l2,10,64.0,1.00565,5.505,4,0.2
wesad,disr,l2,10,61.0,0.99422,5.427,4,0.5
wesad,disr,l2,10,73.0,1.09444,5.984,4,0.9
wesad,disr,l2,10,61.0,0.60737,3.354,4,0.2
wesad,disr,l2,10,62.0,0.56084,3.065,4,0.5
wesad,disr,l2,10,56.0,0.15628,0.876,4,0.9
wesad,disr,l2,10,80.0,2.48542,13.6,6,0.2
wesad,disr,l2,10,73.0,2.18916,11.9,6,0.5
wesad,disr,l2,10,81.0,2.70355,14.7,6,0.9
wesad,disr,l2,10,81.0,2.73083,14.9,6,0.2
wesad,disr,l2,10,85.0,2.34529,12.8,6,0.5
wesad,disr,l2,10,88.0,2.3018,12.5,6,0.9
wesad,disr,l2,10,85.0,2.62674,14.3,6,0.2
wesad,disr,l2,10,82.0,2.97877,16.3,6,0.5
wesad,disr,l2,10,85.0,2.78335,15.2,6,0.9
wesad,disr,l2,10,90.0,2.18313,11.9,6,0.2
wesad,disr,l2,10,87.0,2.43112,13.3,6,0.5
wesad,disr,l2,10,88.0,2.27929,12.5,6,0.9
wesad,disr,l2,10,86.0,3.01596,16.5,6,0.2
wesad,disr,l2,10,90.0,2.92305,16.0,6,0.5
wesad,disr,l2,10,86.0,3.27635,17.9,6,0.9
wesad,disr,l2,10,79.0,1.81747,9.934,6,0.2
wesad,disr,l2,10,80.0,1.79284,9.787,6,0.5
wesad,disr,l2,10,72.0,1.02481,5.597,6,0.9
wesad,disr,l2,10,79.0,5.23066,28.4,8,0.2
wesad,disr,l2,10,81.0,4.49917,24.6,8,0.5
wesad,disr,l2,10,81.0,5.57483,30.5,8,0.9
wesad,disr,l2,10,86.0,6.20154,33.9,8,0.2
wesad,disr,l2,10,89.0,5.19403,28.4,8,0.5
wesad,disr,l2,10,90.0,5.22427,28.5,8,0.9
wesad,disr,l2,10,85.0,5.67712,30.9,8,0.2
wesad,disr,l2,10,85.0,6.06887,33.0,8,0.5
wesad,disr,l2,10,87.0,5.6989,31.1,8,0.9
wesad,disr,l2,10,87.0,5.03054,27.4,8,0.2
wesad,disr,l2,10,90.0,5.57389,30.3,8,0.5
wesad,disr,l2,10,90.0,5.29579,28.9,8,0.9
wesad,disr,l2,10,86.0,6.57594,35.9,8,0.2
wesad,disr,l2,10,92.0,6.4789,35.3,8,0.5
wesad,disr,l2,10,91.0,6.94178,37.8,8,0.9
wesad,disr,l2,10,81.0,4.07172,22.2,8,0.2
wesad,disr,l2,10,76.0,4.0302,22.0,8,0.5
wesad,disr,l2,10,76.0,2.60132,14.2,8,0.9
wesad,disr,l2,10,78.0,9.2773,50.7,10,0.2
wesad,disr,l2,10,82.0,7.78196,42.6,10,0.5
wesad,disr,l2,10,81.0,9.56972,52.2,10,0.9
wesad,disr,l2,10,85.0,10.23787,56.0,10,0.2
wesad,disr,l2,10,89.0,8.82685,48.2,10,0.5
wesad,disr,l2,10,89.0,8.54421,46.7,10,0.9
wesad,disr,l2,10,85.0,10.26771,56.1,10,0.2
wesad,disr,l2,10,86.0,10.54864,57.5,10,0.5
wesad,disr,l2,10,87.0,9.63465,52.4,10,0.9
wesad,disr,l2,10,86.0,8.77366,47.9,10,0.2
wesad,disr,l2,10,90.0,9.90734,54.1,10,0.5
wesad,disr,l2,10,90.0,9.21533,50.3,10,0.9
wesad,disr,l2,10,89.0,10.85562,59.1,10,0.2
wesad,disr,l2,10,91.0,10.56865,57.7,10,0.5
wesad,disr,l2,10,89.0,11.84179,64.6,10,0.9
wesad,disr,l2,10,81.0,6.94893,38.0,10,0.2
wesad,disr,l2,10,75.0,6.81027,37.2,10,0.5
wesad,disr,l2,10,80.0,5.19678,28.4,10,0.9
wesad,fisher_score,l2,10,77.0,3.56913,19.4,8,0.2
wesad,fisher_score,l2,10,75.0,3.72289,20.3,8,0.5
wesad,fisher_score,l2,10,77.0,5.43308,29.6,8,0.9
wesad,fisher_score,l2,10,80.0,4.05312,22.1,8,0.2
wesad,fisher_score,l2,10,83.0,4.65476,25.4,8,0.5
wesad,fisher_score,l2,10,84.0,5.02125,27.4,8,0.9
wesad,fisher_score,l2,10,88.0,5.7326,31.3,8,0.2
wesad,fisher_score,l2,10,85.0,4.78531,26.1,8,0.5
wesad,fisher_score,l2,10,87.0,5.16214,28.2,8,0.9
wesad,fisher_score,l2,10,92.0,5.29133,28.8,8,0.2
wesad,fisher_score,l2,10,90.0,5.51095,30.1,8,0.5
wesad,fisher_score,l2,10,90.0,5.19794,28.4,8,0.9
wesad,fisher_score,l2,10,87.0,6.28358,34.2,8,0.2
wesad,fisher_score,l2,10,90.0,6.16076,33.7,8,0.5
wesad,fisher_score,l2,10,89.0,5.85516,31.9,8,0.9
wesad,fisher_score,l2,10,69.0,3.31522,18.1,8,0.2
wesad,fisher_score,l2,10,73.0,3.72485,20.3,8,0.5
wesad,fisher_score,l2,10,69.0,3.06255,16.7,8,0.9
wesad,jmi,l2,10,74.0,4.51906,24.6,8,0.2
wesad,jmi,l2,10,76.0,4.98006,27.2,8,0.5
wesad,jmi,l2,10,79.0,4.98738,27.2,8,0.9
wesad,jmi,l2,10,85.0,4.08324,22.3,8,0.2
wesad,jmi,l2,10,82.0,6.08239,33.2,8,0.5
wesad,jmi,l2,10,81.0,5.38241,29.3,8,0.9
wesad,jmi,l2,10,84.0,6.44193,35.1,8,0.2
wesad,jmi,l2,10,86.0,6.44458,35.2,8,0.5
wesad,jmi,l2,10,81.0,6.63944,36.2,8,0.9
wesad,jmi,l2,10,88.0,7.36258,40.2,8,0.2
wesad,jmi,l2,10,89.0,7.05042,38.5,8,0.5
wesad,jmi,l2,10,90.0,6.79377,37.1,8,0.9
wesad,jmi,l2,10,88.0,6.24158,34.1,8,0.2
wesad,jmi,l2,10,88.0,6.55933,35.7,8,0.5
wesad,jmi,l2,10,89.0,6.89858,37.6,8,0.9
wesad,jmi,l2,10,75.0,3.45877,18.9,8,0.2
wesad,jmi,l2,10,68.0,3.35932,18.3,8,0.5
wesad,jmi,l2,10,71.0,3.13864,17.1,8,0.9
